EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247057;1;01/01/1980;1;63,2;380,9;1;14;1;1;0;1486;1;63,2;0,0;0,0;0,0;0,0;0,0;0,0;25,8;0,0;49,2;23,8;0,9;0,0;0,0;0,0;0,0;0,0;18,2;16,4;0,0;60,4;13,4;0,4;0,0;21,8;56,6;4,6;26,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/12/1979;1;57,6;238,8;6;15;1;1;0;1402,40002441406;1;0,0;0,0;13,2;3,8;0,0;57,6;2,4;0,0;0,0;0,0;1,2;35,8;11,0;9,6;26,0;36,0;12,8;0,0;0,0;0,0;0,0;0,0;0,0;0,4;9,2;13,4;6,4;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1979;1;40,4;171,0;11;9;1;1;0;1402,40002441406;1;0,0;30,2;3,2;0,0;0,0;0,0;0,0;0,0;22,8;2,8;40,4;0,0;0,0;0,0;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,6;0,0;20,4;6,2;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1979;1;28,2;127,1;9;11;1;1;0;1402,40002441406;1;0,0;8,0;0,0;1,8;0,0;0,0;5,6;27,0;28,2;0,0;0,0;0,0;0,0;10,2;13,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;2,6;5,9;19,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/09/1979;1;30,4;94,7;19;9;1;1;0;1402,40002441406;1;0,0;0,0;3,8;0,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;10,4;0,0;0,0;5,4;8,0;0,0;13,6;30,4;0,5;0,0;0,0;20,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/08/1979;1;26,4;84,0;15;7;1;1;0;1402,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,4;0,0;26,4;0,0;0,0;18,4;10,0;5,2;2,0;0,0;0,0;0,0;0,0;0,0;11,6;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/07/1979;1;23,6;52,3;26;6;1;1;0;1402,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,8;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,6;0,0;0,0;0,0;0,0;0,8;23,6;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/06/1979;1;0,0;0,0;1;;1;1;0;1402,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1979;1;36,2;113,1;4;13;1;1;0;1402,40002441406;1;0,6;0,0;1,2;36,2;18,2;2,0;0,4;0,6;0,6;0,8;16,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;35,4;0,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/04/1979;1;52,6;103,6;5;6;1;1;0;1402,40002441406;1;0,0;0,0;0,0;10,0;52,6;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;22,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
