EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247057;1;01/06/1977;1;17,0;35,0;5;5;1;1;0;1416,40002441406;1;0,0;0,0;1,0;2,6;17,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,4;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1977;1;7,6;12,3;17;2;1;1;0;1416,40002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7;0,0;7,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/04/1977;1;36,2;126,7;5;8;1;1;0;1416,40002441406;1;2,5;0,0;0,0;0,8;36,2;0,0;0,0;0,0;17,2;36,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,8;6,0;9,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/03/1977;1;44,0;135,6;5;10;1;1;0;1416,40002441406;1;0,0;0,0;0,0;1,1;44,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;2,3;13,4;6,4;17,6;0,0;0,0;0,0;0,0;19,4;10,0;13,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/02/1977;1;25,2;47,4;1;4;1;1;0;1416,40002441406;1;25,2;0,0;0,0;0,0;3,6;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,6;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;,,,
2247057;1;01/01/1977;1;50,0;356,8;5;18;1;1;0;1416,40002441406;1;0,0;2,3;0,3;0,0;50,0;28,6;16,2;1,8;0,0;0,0;0,0;0,0;0,0;0,0;17,8;0,0;23,0;4,3;33,2;0,0;0,0;0,0;0,0;1,2;32,4;1,0;19,6;18,6;49,3;18,2;39,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/12/1976;1;63,0;189,8;9;15;1;1;0;1901,90002441406;1;0,0;11,2;0,1;0,0;3,3;5,2;0,0;0,0;63,0;0,0;0,0;0,0;0,0;0,0;0,0;48,0;7,0;0,0;0,0;0,0;3,4;0,0;4,6;7,6;27,4;2,3;2,6;3,0;0,0;0,0;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1976;1;34,1;121,7;21;9;1;1;0;1901,90002441406;1;4,2;0,0;0,0;0,0;21,8;25,2;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,5;0,0;25,4;34,1;0,0;0,0;0,0;0,0;0,0;0,0;6,8;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1976;1;32,8;97,2;9;7;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;32,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,6;11,4;0,0;0,0;0,0;0,0;0,0;15,0;8,6;5,4;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/09/1976;1;43,0;180,3;8;11;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;1,7;12,8;20,4;43,0;0,0;0,0;0,0;0,0;3,2;16,2;4,0;15,2;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,4;37,2;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/08/1976;1;23,0;105,2;14;9;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;0,0;21,4;0,0;0,0;0,0;11,4;14,6;10,2;10,4;23,0;0,0;0,0;0,0;0,0;1,3;12,4;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/07/1976;1;69,8;142,6;3;6;1;1;0;1901,90002441406;1;0,0;28,8;69,8;17,1;0,0;0,0;0,0;1,9;16,4;8,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/06/1976;1;76,0;86,4;6;3;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;0,0;76,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1976;1;80,4;189,1;29;11;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;11,4;0,1;0,0;0,0;0,0;7,2;8,0;29,6;9,0;0,0;5,4;0,2;0,0;0,0;0,0;0,0;19,8;80,4;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/04/1976;1;18,0;74,3;12;8;1;1;0;1901,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;10,0;18,0;14,0;12,0;0,0;0,0;0,0;5,2;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/03/1976;1;35,2;130,5;23;6;1;1;0;1901,90002441406;1;0,0;0,0;0,0;6,3;0,0;0,0;0,0;18,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,2;0,0;32,4;0,0;0,0;0,0;35,2;0,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/02/1976;1;58,0;274,0;2;12;1;1;0;1901,90002441406;1;18,2;58,0;0,0;0,0;14,3;35,0;53,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0;0,0;3,0;6,1;0,0;3,1;5,1;9,1;0,0;50,0;0,0;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;,,
2247057;1;01/01/1976;1;69,3;310,8;26;14;1;1;0;1901,90002441406;1;0,0;15,4;0,0;13,2;0,0;15,1;50,1;25,0;0,0;0,0;29,4;0,0;0,0;0,0;5,1;0,0;0,0;0,0;19,0;8,1;0,0;3,7;0,0;0,0;31,0;69,3;0,0;16,2;0,0;0,0;10,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/12/1975;1;75,0;276,8;12;14;1;1;0;;0;22,4;12,0;0,0;0,0;17,2;28,3;0,0;2,1;0,0;0,0;0,0;75,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,2;20,1;15,0;20,0;7,1;5,2;0,0;15,1;17,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/11/1975;1;50,0;319,7;7;16;1;1;0;;0;10,2;15,0;0,0;0,0;0,0;0,0;50,0;25,0;0,0;10,9;0,0;2,4;0,0;0,0;0,0;0,0;6,4;17,0;0,0;5,0;25,0;1,1;0,0;20,3;33,3;40,1;0,0;0,0;13,0;45,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/10/1975;1;45,0;186,8;31;7;1;1;0;;0;0,0;0,0;7,2;0,0;16,1;0,0;0,0;31,3;0,0;0,0;0,0;31,0;0,0;0,0;40,0;0,0;0,0;0,0;16,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/09/1975;1;10,0;18,2;30;3;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;6,8;0,0;0,0;10,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/08/1975;1;0,0;0,0;1;;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/07/1975;1;14,3;35,3;4;4;1;1;0;;0;0,0;0,0;0,0;14,3;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/06/1975;1;3,6;3,6;4;1;1;1;0;;0;0,0;0,0;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/05/1975;1;16,1;19,0;6;2;1;1;0;;0;0,0;0,0;0,0;2,9;0,0;16,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/04/1975;1;20,3;34,9;12;4;1;1;0;;0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,9;0,0;20,3;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/12/1974;1;25,2;212,7;29;22;1;1;0;1418,09997558594;1;3,0;0,0;3,4;11,8;11,4;8,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;12,4;7,8;12,2;13,5;7,2;4,6;3,8;4,4;16,0;6,8;11,4;6,2;0,0;0,0;15,0;25,2;13,0;11,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1974;1;50,4;166,0;22;8;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;40,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;50,4;19,8;0,0;0,0;0,0;25,0;8,4;2,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1974;1;25,0;104,3;30;10;1;1;0;1418,09997558594;1;0,0;12,6;0,0;17,4;10,6;0,0;0,0;0,0;0,5;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;18,4;0,0;0,0;0,0;12,6;0,0;0,0;0,0;4,2;25,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/09/1974;1;31,0;31,0;29;1;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/08/1974;1;5,9;6,8;15;2;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/07/1974;1;0,0;0,0;1;;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/06/1974;1;25,2;129,2;12;12;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,4;6,8;6,8;8,4;0,0;0,9;7,1;25,2;12,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,4;0,0;0,0;23,8;19,4;4,6;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1974;1;9,4;16,4;14;4;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;9,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;0,3;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/04/1974;1;16,6;44,0;14;6;1;1;0;1418,09997558594;1;0,0;0,0;2,2;2,0;4,2;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,8;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/03/1974;1;65,6;285,8;18;16;1;1;0;1418,09997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;53,8;3,6;4,8;18,2;4,2;18,4;4,2;38,0;8,6;3,2;11,4;65,6;30,2;17,6;0,4;0,0;0,0;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/02/1974;1;28,2;94,5;18;8;1;1;0;1418,09997558594;1;21,3;7,2;5,4;0,6;6,3;0,0;0,0;0,0;22,4;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;28,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;,,,
2247057;1;01/01/1974;1;63,4;327,4;28;21;1;1;0;1418,09997558594;1;53,2;0,0;15,5;0,0;0,0;10,4;0,2;15,1;1,9;3,7;1,6;0,4;2,8;21,8;17,0;0,0;19,3;23,2;0,0;0,0;0,0;0,0;0,0;3,6;7,2;0,0;21,6;63,4;24,8;3,4;17,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/12/1973;1;30,2;173,8;25;16;1;1;0;1195,90002441406;1;0,0;0,0;0,0;18,6;13,2;11,6;24,0;19,6;6,9;0,0;0,0;0,0;0,0;4,7;0,0;0,0;9,1;2,3;1,7;5,5;3,8;0,0;0,0;0,0;30,2;5,4;0,0;0,0;0,0;8,9;8,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1973;1;60,8;151,4;1;10;1;1;0;1195,90002441406;1;60,8;25,9;8,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;0,0;12,0;2,8;0,0;0,0;0,0;21,8;10,1;0,0;0,0;0,0;0,0;6,8;0,2;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1973;1;25,0;100,6;19;9;1;1;0;1195,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;16,3;0,0;17,3;0,2;16,6;3,2;0,0;0,0;0,0;0,0;0,0;0,0;25,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;6,8;0,0;0,0;0,0;12,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/09/1973;1;23,6;51,0;2;5;1;1;0;1195,90002441406;1;0,0;23,6;13,0;0,0;0,0;0,0;0,3;0,0;2,8;0,0;0,0;0,0;0,0;0,0;11,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/08/1973;1;13,5;17,9;6;3;1;1;0;1195,90002441406;1;0,0;0,0;0,0;0,0;0,0;13,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/07/1973;1;23,6;69,5;3;6;1;1;0;1195,90002441406;1;0,0;14,4;23,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;5,7;0,6;0,0;0,0;0,0;0,0;22,4;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/06/1973;1;19,4;34,0;18;5;1;1;0;1195,90002441406;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,4;10,2;0,0;0,0;0,0;0,0;0,0;1,8;0,0;0,4;0,0;2,2;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1973;1;18,6;53,1;22;6;1;1;0;1195,90002441406;1;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;10,4;12,8;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,6;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/04/1973;1;20,6;127,8;13;12;1;1;0;1195,90002441406;1;19,4;17,8;12,4;0,0;0,0;0,0;4,4;8,2;0,0;6,2;0,0;6,2;20,6;2,8;0,0;0,0;0,0;0,0;5,2;10,4;14,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/03/1973;1;33,8;98,4;9;7;1;1;0;1195,90002441406;1;0,0;0,0;8,2;10,4;8,0;0,0;0,0;0,0;33,8;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/02/1973;1;36,4;141,2;19;12;1;1;0;1195,90002441406;1;11,2;0,0;0,0;0,0;35,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;8,4;7,2;6,8;2,1;3,7;0,0;36,4;21,8;0,2;0,0;0,0;0,0;0,0;0,0;7,6;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;,,,
2247057;1;01/01/1973;1;41,8;177,2;23;15;1;1;0;1195,90002441406;1;0,0;0,0;0,0;0,2;9,0;16,8;0,2;0,0;1,6;4,8;1,4;0,0;8,2;0,0;24,2;37,0;0,0;0,0;0,0;16,8;0,4;4,6;41,8;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/12/1972;1;31,4;176,0;1;15;1;1;0;;0;31,4;0,0;0,0;9,4;8,8;1,4;0,0;0,0;0,0;0,0;0,0;15,4;0,0;0,0;0,0;0,0;0,0;0,0;10,8;10,4;0,0;0,0;23,0;15,2;19,8;3,2;0,0;17,2;0,4;4,4;5,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/11/1972;1;35,2;143,1;14;16;1;1;0;;0;0,0;1,6;0,0;9,2;0,0;0,0;0,0;0,0;4,6;0,8;29,2;0,1;0,0;35,2;2,0;2,6;0,4;0,6;20,4;12,4;0,0;0,0;0,0;0,0;6,2;10,6;7,2;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/10/1972;1;47,0;170,2;11;11;1;1;0;;0;0,0;2,4;2,8;33,4;22,6;0,2;6,6;0,0;0,0;25,6;47,0;0,2;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/09/1972;1;18,2;79,4;23;10;1;1;0;;0;0,0;0,0;0,0;6,8;0,0;9,2;0,0;0,0;0,0;0,0;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,2;0,2;11,0;5,4;7,2;9,2;7,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/08/1972;1;26,4;89,5;4;10;1;1;0;;0;0,0;0,0;0,0;26,4;6,6;12,4;19,2;0,0;0,0;0,0;0,0;8,2;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;4,0;0,0;0,0;0,0;0,0;0,0;6,8;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/12/1971;1;30,0;182,2;30;13;1;1;0;1110,09997558594;1;27,2;0,3;0,0;13,5;0,0;0,0;0,0;0,0;5,4;0,3;0,0;0,0;0,0;26,5;0,0;0,0;0,0;0,0;0,0;24,0;0,0;0,0;26,7;6,8;0,0;4,6;0,0;12,0;4,9;30,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1971;1;28,7;106,9;13;7;1;1;0;1110,09997558594;1;8,0;24,9;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,8;18,4;10,7;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1971;1;38,6;159,7;12;10;1;1;0;1110,09997558594;1;6,0;3,0;0,0;17,4;19,0;0,0;31,1;0,0;0,0;0,0;3,0;38,6;0,0;0,0;0,0;0,0;0,0;28,6;0,0;0,0;0,0;0,0;0,0;0,0;9,8;3,2;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
